"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"886","Michael Kapla","N.J","D","5","87.2","0","0","0","0","0","0.00","4","0.00","10","5","2","0","0","0","0","0","0","0","0","0","3","2","5","6","5","0","0","-"
"620","Michael Matheson","FLA","D","81","1705.8833333333","7","10","7","3","17","27.42","179","3.91","314","246","73","18","10","12","36","18","18","0","0","17","65","48","69","85","118","1","0","100.00"
"706","Michael McCarron","MTL","R","31","306.55","1","4","3","1","5","55.56","31","3.23","56","45","26","13","3","2","41","13","8","5","0","11","6","7","75","68","11","76","99","43.43"
"684","Michael Raffl","PHI","L","52","689.63333333333","8","3","2","1","11","57.89","63","12.70","112","89","81","48","1","5","20","7","5","2","0","13","17","13","91","111","22","3","7","30.00"
"484","Michael Sgarbossa","ANA, FLA","C","38","423.83333333333","2","7","5","2","9","75.00","33","6.06","55","45","32","16","2","6","9","3","2","1","0","7","14","6","39","38","16","138","176","43.95"
"315","Michael Stone","ARI, CGY","D","64","1268.3166666667","3","12","6","6","15","32.61","81","3.70","186","127","31","2","3","10","32","16","16","0","0","6","26","5","125","86","143","1","0","100.00"
"754","Michael Zalewski","VAN","L","1","8.05","0","0","0","0","0","-","0","-","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","-"
"882","Michal Kempny","CHI","D","50","748.3","2","6","2","4","8","27.59","67","2.99","173","106","32","1","5","6","22","11","11","0","0","3","26","6","76","67","59","0","0","-"
"6","Michal Rozsival","CHI","D","22","340.9","1","2","2","0","3","37.50","16","6.25","26","22","4","1","0","2","14","7","7","0","0","1","10","5","47","49","25","0","0","-"
"481","Micheal Ferland","CGY","L","76","878.93333333333","15","10","6","4","25","67.57","106","14.15","172","145","100","40","6","11","50","12","5","6","1","13","38","36","149","52","26","3","4","42.86"
"282","Micheal Haley","S.J","C","58","532.31666666667","2","10","7","3","12","54.55","38","5.26","86","64","49","23","2","8","128","32","14","16","2","30","19","18","129","48","23","66","83","44.30"
"553","Miikka Salomaki","NSH","R","5","61.066666666667","0","0","0","0","0","0.00","3","0.00","8","5","2","1","0","1","2","1","1","0","0","1","0","1","14","5","9","0","0","-"
"564","Mika Zibanejad","NYR","C","56","956.03333333333","14","23","8","15","37","58.73","119","11.76","226","182","131","59","3","17","16","8","8","0","0","17","31","36","23","43","27","494","456","52.00"
"271","Mikael Backlund","CGY","C","81","1426.0833333333","22","31","21","10","53","66.25","197","11.17","338","272","188","84","14","12","26","13","13","0","0","9","49","57","55","38","41","711","768","48.07"
"462","Mikael Granlund","MIN","C","81","1524.7833333333","26","43","31","12","69","71.13","177","14.69","318","244","176","78","13","18","12","6","6","0","0","21","33","43","50","140","50","16","17","48.48"
"152","Mike Blunden","OTT","R","2","16.233333333333","0","0","0","0","0","-","1","0.00","1","1","0","0","0","0","4","2","2","0","0","2","0","0","6","5","0","0","0","-"
"46","Mike Cammalleri","N.J","L","61","1058.65","10","21","14","7","31","64.58","142","7.04","244","192","117","34","4","10","21","9","8","1","0","14","32","24","44","52","14","17","11","60.71"
"13","Mike Fisher","NSH","C","72","1196.4166666667","18","24","17","7","42","65.63","120","15.00","194","163","111","59","7","15","55","18","14","3","1","8","19","21","160","43","64","703","577","54.92"
"128","Mike Green","DET","D","72","1696.05","14","22","14","8","36","50.70","125","11.20","284","183","82","14","3","9","40","20","20","0","0","15","52","24","67","127","92","0","0","-"
"341","Mike Hoffman","OTT","C, L","74","1301.8833333333","26","35","24","11","61","68.54","224","11.61","415","312","169","53","9","24","51","20","18","1","1","8","54","45","41","49","21","12","9","57.14"
"411","Mike Liambas","NSH","L","1","4.7","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","-"
