"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"168","Georges Laraque","PIT","R","71","546.91666666667","4","9","4","5","13","76.47","29","13.79","50","40","35","20","2","3","141","36","18","15","3","25","10","9","87","45","9","0","1","0.00"
"255","Todd Fedoruk","DAL, MIN","L","69","711.53333333333","6","7","2","5","13","38.24","57","10.53","89","73","55","28","0","4","139","44","32","9","3","27","19","5","76","39","16","0","4","0.00"
"261","Karel Rachunek","N.J","D","47","911.25","4","9","5","4","13","30.23","68","5.88","141","100","27","5","1","13","40","19","19","0","0","5","16","13","62","60","47","0","0","-"
"267","Tom Kostopoulos","MTL","R","67","755.13333333333","7","6","4","2","13","59.09","98","7.14","151","125","79","34","12","8","113","35","24","9","2","21","16","11","128","89","34","8","20","28.57"
"344","Jordan Leopold","COL","D","43","687.4","5","8","2","6","13","43.33","35","14.29","73","51","25","9","3","7","20","10","10","0","0","4","16","8","26","44","40","0","0","-"
"406","Matt Pettinger","VAN, WSH","L","76","1087.0833333333","6","7","5","2","13","43.33","127","4.72","201","164","110","42","6","7","36","15","13","2","0","19","12","25","75","120","35","11","8","57.89"
"503","Brandon Bochenski","ANA, BOS, NSH","R","40","477.66666666667","3","10","5","5","13","65.00","56","5.36","99","78","67","22","3","3","12","6","6","0","0","7","8","19","13","17","5","2","5","28.57"
"514","Keith Aucoin","CAR","C","38","511.45","5","8","4","4","13","61.90","65","7.69","118","91","69","31","0","10","10","5","5","0","0","17","7","22","34","47","8","124","203","37.92"
"575","Jim Slater","ATL","C","69","717.05","8","5","3","2","13","76.47","95","8.42","144","116","79","31","5","5","41","15","13","1","1","20","9","26","84","55","29","191","176","52.04"
"656","Jan Hejda","CBJ","D","81","1711.2666666667","0","13","4","9","13","20.97","71","0.00","163","101","18","2","2","7","61","29","28","1","0","13","24","18","148","102","90","0","0","-"
"667","Bruno Gervais","NYI","D","60","1200.3166666667","0","13","8","5","13","33.33","59","0.00","141","84","32","4","3","10","34","17","17","0","0","11","29","37","35","47","72","0","0","-"
"740","Ryan Callahan","NYR","R","52","643.48333333333","8","5","3","2","13","59.09","92","8.70","139","116","79","29","7","8","31","14","13","1","0","28","12","18","139","100","25","1","4","20.00"
"760","Ryan Shannon","VAN","R","27","348.01666666667","5","8","5","3","13","61.90","34","14.71","62","52","36","18","3","5","24","8","7","0","1","0","3","13","10","15","8","32","50","39.02"
"4","Chris Chelios","DET","D","69","1170.2333333333","3","9","4","5","12","33.33","60","5.00","157","106","28","4","1","4","36","18","18","0","0","12","44","15","56","66","46","0","0","-"
"10","Trevor Linden","VAN","C","59","666.58333333333","7","5","5","0","12","66.67","45","15.56","74","57","39","18","3","4","15","6","5","1","0","9","14","11","48","21","16","158","158","50.00"
"88","Stephane Yelle","CGY","C","74","884.66666666667","3","9","5","4","12","80.00","62","4.84","104","83","58","29","7","5","20","10","10","0","0","18","13","27","93","72","30","190","191","49.87"
"101","Shean Donovan","OTT","R","82","785.43333333333","5","7","4","3","12","48.00","91","5.49","145","119","92","46","7","10","73","28","24","3","1","26","16","24","68","71","15","11","18","37.93"
"142","Freddy Modin","CBJ","L","23","387.1","6","6","2","4","12","70.59","41","14.63","85","61","50","24","2","4","20","10","10","0","0","10","7","11","16","18","11","46","57","44.66"
"210","Brian Willsie","L.A","R","53","563.21666666667","4","8","4","4","12","63.16","62","6.45","111","86","77","30","4","6","30","15","15","0","0","4","10","12","42","34","13","14","10","58.33"
"216","Willie Mitchell","VAN","D","72","1668.55","2","10","5","5","12","21.82","65","3.08","141","94","35","8","3","6","81","27","22","3","2","17","41","37","49","106","109","0","0","-"
"237","Nick Boynton","PHX","D","79","1343.9666666667","3","9","4","5","12","30.77","94","3.19","201","130","39","8","4","14","125","46","39","5","2","23","20","16","93","75","93","0","0","-"
