"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"247","Colton Orr","TOR","R","46","233.31666666667","2","0","0","0","2","40.00","14","14.29","27","20","12","5","1","0","128","31","14","14","3","18","5","1","46","23","9","0","1","0.00"
"296","Derek Boogaard","NYR","L","22","100.08333333333","1","1","1","0","2","66.67","4","25.00","9","8","3","1","0","1","45","12","5","7","0","8","1","0","27","12","3","0","0","-"
"359","DJ King","WSH","L","16","90.95","0","2","0","2","2","66.67","6","0.00","7","6","5","3","0","0","30","6","0","6","0","6","2","4","20","18","0","0","0","-"
"372","Freddy Meyer","ATL","D","15","228.95","1","1","1","0","2","50.00","11","9.09","29","19","7","1","1","2","8","4","4","0","0","1","1","2","29","18","33","0","0","-"
"409","Stefan Meyer","CGY","L","16","124.01666666667","0","2","1","1","2","40.00","12","0.00","27","16","13","5","0","0","17","4","1","3","0","10","0","2","24","17","10","7","10","41.18"
"465","Danny Syvret","ANA, PHI","D","10","150.51666666667","1","1","0","1","2","66.67","11","9.09","30","16","11","4","0","4","6","3","3","0","0","0","0","0","4","9","7","0","0","-"
"478","Kyle Chipchura","ANA","C","40","319.75","0","2","2","0","2","33.33","23","0.00","34","30","22","10","2","0","32","7","1","6","0","9","5","8","30","42","10","132","151","46.64"
"525","Andrew Gordon","WSH","R","9","78.033333333333","1","1","1","0","2","50.00","5","20.00","17","12","9","6","0","1","0","0","0","0","0","1","2","0","5","10","4","0","0","-"
"534","Aaron Gagnon","DAL","C","19","153.2","0","2","0","2","2","66.67","9","0.00","26","19","11","5","1","0","0","0","0","0","0","0","0","4","12","11","5","30","25","54.55"
"547","Tim Sestito","N.J","L","36","389.53333333333","0","2","2","0","2","40.00","22","0.00","44","32","12","8","1","1","9","3","2","1","0","8","11","8","79","34","14","116","137","45.85"
"575","Brendan Mikkelson","ANA, CGY","D","24","341.48333333333","0","2","1","1","2","25.00","14","0.00","36","24","5","2","0","0","7","2","1","1","0","5","9","2","21","41","18","0","0","-"
"592","Mark Fraser","N.J","D","26","363.4","0","2","2","0","2","16.67","16","0.00","37","27","3","0","0","2","29","10","7","3","0","12","8","3","58","26","19","0","0","-"
"598","Chris VandeVelde","EDM","C","12","207.31666666667","0","2","0","2","2","28.57","16","0.00","34","26","21","10","3","1","12","5","5","0","0","3","4","6","19","26","12","84","75","52.83"
"616","Joe Vitale","PIT","C","9","95.15","1","1","0","1","2","66.67","13","7.69","24","15","12","7","1","0","13","5","4","1","0","2","2","5","18","13","2","36","28","56.25"
"642","Jon Matsumoto","CAR","C","13","91.9","2","0","0","0","2","100.00","11","18.18","21","14","12","5","1","3","4","2","2","0","0","1","3","4","13","10","4","30","53","36.14"
"655","Ben Maxwell","ATL","C","12","143.93333333333","1","1","0","1","2","100.00","13","7.69","20","19","11","7","0","0","9","3","2","1","0","4","3","5","1","5","2","16","20","44.44"
"703","Lee Sweatt","VAN","D","3","40.166666666667","1","1","1","0","2","50.00","4","25.00","8","6","5","1","1","0","2","1","1","0","0","0","0","0","4","7","6","0","0","-"
"725","Paul Byron","BUF","L","8","87.633333333333","1","1","0","1","2","50.00","5","20.00","7","7","6","4","0","0","2","1","1","0","0","4","2","8","18","3","2","29","42","40.85"
"730","Keith Aulie","TOR","D","40","765.03333333333","2","0","0","0","2","8.33","32","6.25","76","49","15","0","1","3","32","13","11","2","0","5","46","5","98","65","74","0","0","-"
"738","Carson McMillan","MIN","R","4","37.35","1","1","0","1","2","66.67","5","20.00","9","5","6","4","0","1","0","0","0","0","0","0","1","0","6","7","1","9","14","39.13"
"772","Jerome Samson","CAR","R","23","157.56666666667","0","2","0","2","2","66.67","28","0.00","61","42","25","7","2","3","0","0","0","0","0","5","1","9","13","28","3","2","1","66.67"
"792","Cody Hodgson","VAN","C","8","61.933333333333","1","1","0","1","2","100.00","9","11.11","17","12","11","4","0","2","0","0","0","0","0","0","1","2","4","8","2","16","26","38.10"
"808","Patrick Wiercioch","OTT","D","8","111.21666666667","0","2","0","2","2","22.22","3","0.00","15","10","2","0","0","2","4","2","2","0","0","1","2","0","4","15","2","0","0","-"
"814","Patrice Cormier","ATL","C","21","202.53333333333","1","1","1","0","2","66.67","27","3.70","38","37","25","14","1","2","4","2","2","0","0","7","1","6","31","25","15","39","28","58.21"
"815","Marco Scandella","MIN","D","20","299.38333333333","0","2","2","0","2","18.18","13","0.00","27","18","5","2","0","2","2","1","1","0","0","6","10","5","20","26","22","0","0","-"
