"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"331","Fedor Tyutin","CBJ","D","80","1881.8833333333","23.523541666667","51.59","50.12","50.72","39.38","39.34","50.02","29.62","28.09","51.33","2.81","2.81","50.00","23.34","23.69","49.63","10.43","9.6","52.07","1.47","1.53","48.94","17.22","18.79","47.82","0.89","1.02","46.67","34.03","32.51","51.14","0.92","0.6","60.61","9.47","90.01","0.995","9.82","12.37","10.68","39.92","47.90","20.25","18.52","18.94","51.67"
"723","Kyle Okposo","NYI","R","80","1643.1666666667","20.539583333333","62.84","50.1","55.64","46.19","36.22","56.05","33.12","26.29","55.75","2.96","3.07","49.09","32.24","25.49","55.85","14.68","11.14","56.86","1.68","1.46","53.49","23.42","19.13","55.03","0.97","1.07","47.62","36.66","29.64","55.29","0.74","1.11","40.00","8.93","88.33","0.973","13.33","13.55","9.97","31.8","57.21","23.44","18.48","16.21","59.12"
"111","Daniel Briere","PHI","C","75","1243.9166666667","16.585555555556","76.55","50.02","60.48","57.74","38.35","60.09","41.43","28.55","59.20","3.96","2.51","61.19","37.29","23.15","61.69","16.5","9.41","63.69","2.51","1.59","61.18","27.72","18.33","60.20","1.16","0.71","62.07","49.54","31.91","60.82","0.84","0.42","66.67","9.55","91.22","1.008","16.11","12.93","6.13","41.77","72.45","25.81","19","12.69","67.04"
"596","Mikhail Grabovski","TOR","C","59","990.98333333333","16.796327683616","78.16","50.01","60.98","56.25","37.6","59.94","39.05","25.67","60.34","3.33","2.54","56.70","36.63","23.61","60.80","15.08","10.29","59.43","1.82","1.27","58.82","28.74","17.76","61.81","1.05","0.97","52.00","52.12","33.15","61.13","1.05","0.61","63.16","8.53","90.09","0.986","11.14","11.99","5.81","40.87","65.71","21.49","18.65","12.71","62.83"
"170","Dan Boyle","S.J","D","76","1992.3333333333","26.214912280702","66.56","49.93","57.14","50.38","38.67","56.58","35.27","27.92","55.82","3.82","2.59","59.62","32.86","24.27","57.51","13.01","9.52","57.75","1.99","1.45","57.89","26.46","19.68","57.35","1.49","1.04","58.73","43.5","32.06","57.57","0.96","0.48","66.67","10.85","90.72","1.016","9.43","10.48","9.52","36.56","49.76","23.52","18.88","17.59","57.22"
"868","Matt Duchene","COL","C","81","1436.3666666667","17.7329218107","55.93","49.92","52.84","42.23","37.76","52.79","31.25","27.11","53.54","3.68","2.17","62.86","28.95","23.85","54.83","11.95","10.07","54.27","2.17","1.17","65.00","22.67","18.38","55.22","1.06","0.84","55.88","33.19","31.44","51.35","0.97","0.48","66.67","11.76","91.99","1.038","13.2","14.83","7.56","42.65","63.58","22.39","21.05","13.62","62.18"
"353","Jussi Jokinen","CAR","L","81","1362.0166666667","16.815020576132","64.62","49.91","56.42","47.8","38.5","55.39","33.44","27","55.32","3.79","2.33","61.87","31.06","25.37","55.04","14.71","11.23","56.71","2.16","1.23","63.64","21.79","18.85","53.61","1.29","1.06","55.00","40.02","29.46","57.60","0.83","0.32","72.22","11.33","91.35","1.027","14.36","14.18","7.18","42.64","66.67","23.74","20.35","15.73","60.16"
"378","Valtteri Filppula","DET","C","55","1002.8666666667","18.233939393939","63.78","49.9","56.11","48.76","40.2","54.81","35.36","30.51","53.68","2.63","2.69","49.44","30.45","21.66","58.44","12.38","9.33","57.02","1.44","1.44","50.00","24.09","16.43","59.45","0.8","1.12","41.67","41.05","34.91","54.04","0.78","0.52","60.00","7.45","91.18","0.986","13.82","15.02","10.29","41.46","57.32","21.48","18.25","16.21","56.98"
"777","Mark Letestu","PIT","C","10","96.316666666667","9.6316666666667","68.52","49.84","57.89","44.85","36.13","55.38","31.77","23.67","57.30","1.87","3.11","37.50","31.77","19.93","61.45","14.33","6.85","67.65","1.87","1.25","60.00","23.26","17.44","57.14","0","1.66","0.00","47.69","35.99","56.99","0","0.9","0.00","5.88","86.84","0.927","11.84","14.95","6.23","45.47","65.52","17.44","19.93","12.46","58.33"
"529","Triston Grant","NSH","L","3","21.716666666667","7.2388888888889","46.97","49.73","48.57","41.44","44.21","48.39","35.92","35.92","50.00","0","2.76","0.00","8.29","33.15","20.00","8.29","13.81","37.50","0","2.76","0.00","0","25.79","0.00","0","0","-","43.9","19.95","68.75","0","0","-","0.00","92.31","0.923","8.29","11.05","5.53","69.07","60.00","22.1","13.81","8.29","72.73"
