"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"742","Matt Nieto","S.J","L","72","1098.3833333333","15.255324074074","0.55","0.93","0.55","0.38","1.47","61.36","7.37","7.41","12.07","9.83","7.27","3.88","0.55","1.04","1.09","0.49","0.49","0","0","0.6","1.97","2.08","1.31","5.24","2.08","0","0.05","0.00"
"754","Ryan Strome","NYI","C, R","81","1247.2333333333","15.397942386831","0.82","1.59","1.2","0.38","2.41","56.82","8.61","9.50","13.76","10.63","7.99","3.46","0.67","0.91","2.26","1.06","1.01","0.05","0","0.63","2.5","1.83","4.43","3.46","1.01","7.17","8.18","2.25"
"827","Andrej Sustr","T.B","D","72","1274.5666666667","17.702314814815","0","0.61","0.24","0.38","0.61","27.08","2.59","0.00","6.21","3.67","1.22","0.28","0.09","0.14","1.6","0.8","0.8","0","0","0.24","1.32","0.8","1.84","5.08","3.95","0","0","-"
"122","Brooks Laich","WSH","C","66","971.73333333333","14.723232323232","0.43","0.8","0.43","0.37","1.23","62.50","6.55","6.60","10.56","8.34","6.42","3.03","0.25","0.62","1.48","0.74","0.74","0","0","0.68","1.54","1.54","6.61","6.92","3.27","5.37","6.85","2.71"
"168","Thomas Vanek","MIN","L","80","1296.65","16.208125","0.97","1.43","1.06","0.37","2.41","77.61","7.91","12.28","13.47","10.64","8.38","3.98","0.32","0.97","1.71","0.79","0.74","0.05","0","0.28","2.41","1.3","1.48","1.94","0.6","0.46","0.46","2.31"
"220","David Jones","CGY","R","67","960.73333333333","14.339303482587","0.87","1","0.62","0.37","1.87","73.17","7.12","12.28","12.87","10.05","7.37","4.06","0.44","0.69","1.12","0.5","0.5","0","0","0.87","1.62","1.5","7.81","4.5","2.81","0.94","1","3.02"
"310","Nathan Gerbe","CAR","C","78","1282.6333333333","16.444017094017","0.47","0.84","0.47","0.37","1.31","62.22","10.99","4.26","17.87","14.08","8.47","2.85","0.75","1.12","1.59","0.8","0.8","0","0","1.36","1.78","2.39","3.41","3.18","1.08","0.42","0.28","2.81"
"325","Andy Greene","N.J","D","82","1930.6333333333","23.544308943089","0.09","0.59","0.22","0.37","0.68","38.60","2.58","3.61","6.71","4.35","1.52","0.19","0.09","0.5","0.62","0.31","0.31","0","0","0.37","1.21","0.65","2.55","4.07","5.35","0","0","-"
"351","Patrik Berglund","STL","C","77","1122.4166666667","14.57683982684","0.64","0.8","0.43","0.37","1.44","67.50","7.75","8.28","12.51","10.42","7.38","2.57","0.59","0.69","1.39","0.69","0.69","0","0","0.48","0.69","1.98","4.97","3.31","1.39","8.55","9.03","2.60"
"518","Mike Hoffman","OTT","L","79","1149.7666666667","14.554008438819","1.41","1.1","0.73","0.37","2.5","68.57","10.38","13.57","19.36","13.78","10.28","3.6","0.83","1.51","0.73","0.37","0.37","0","0","0.68","2.35","2.97","2.09","4.07","1.72","0.37","0.37","2.61"
"687","Mark Arcobello","ARI, EDM, NSH, PIT","R","77","1140.1166666667","14.80670995671","0.89","0.74","0.37","0.37","1.63","73.81","6.79","13.18","12.79","9.79","6.1","2.16","0.21","0.68","1.05","0.53","0.53","0","0","0.53","2.26","2.05","5.84","4.89","1.42","24.79","24.63","2.64"
"849","Seth Jones","NSH","D","82","1630.4","19.882926829268","0.29","0.7","0.33","0.37","0.99","40.30","4.53","6.50","9.72","6.26","2.69","0.48","0.33","0.66","0.74","0.37","0.37","0","0","0.52","1.69","1.51","2.65","3.13","3.31","0","0","-"
