,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHL,ESPN,DURABILITE,NHL,ESPN,PRODUCTION,,,,,,CONST/EVOL,,,,,,,GP,PTS,"PTS
/GP","$
/PTS",,,,TOT
,Poulin Kevin,,,27,,,,1,,,,,,0,,,,,,1,,,,,,0,,,,,,1,,,,,,,,0 ,,,,1.00,,,,#DIV/0!,,,,,1,0.0,2,0,2,2,,7.0
,Rynnas Jussi,,,30,,,,2,,,,,,0,,,1,4,12,0,,,3,5,3,0,,,,,,0,,,,,,,,0 ,,,,,,,,#DIV/0!,,,,,1,0.0,2,0,2,2,,7.0
,Tokarski Dustin,,,28,,,,17,6,1,,,,6,1,0,,,,4,0,0,,,,0,0,0,,,,16,2,0,,,,,,0 ,,,,0.94,0.33,0.00,,#DIV/0!,,,,,1,0.0,2,0,2,2,,7.0
,Treutle Niklas,,,25,,,,,2,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,0 ,,,,,0.00,,,#DIV/0!,,,,,1,0.0,2,0,2,2,,7.0
,Will Roman,,,24,,,,,1,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,0 ,,,,,0.00,,,#DIV/0!,,,,,1,0.0,2,0,2,2,,7.0
,Zepp Rob,,,36,,,,10,,,,,,5,,,,,,0,,,,,,0,,,,,,10,,,,,,,,0 ,,,,1.00,,,,#DIV/0!,,,,,1,0.0,2,0,2,2,,7.0
,Gustavsson Jonas,,,33,42,7,27,7,24,7,17,2,16,3,11,1,4,1,4,1,1,1,4,0,0,1,1,0,42,5,36,8,24,3,,,,,,0 ,1.00,0.71,1.33,1.14,1.00,0.43,0,#DIV/0!,,,,,1,0.3,2,0,1,1,,5.3
,Enroth Jhonas,,,29,26,12,28,50,16,6,8,4,4,18,7,0,4,1,5,2,1,1,1,1,0,2,2,0,21,10,13,40,17,1,,,,,,0 ,0.81,0.83,0.46,0.80,1.06,0.17,0,#DIV/0!,,,,,1,0.1,2,0,1,1,,5.1
,Backstrom Niklas,,,39,46,42,21,19,4,,19,24,5,5,2,,7,3,2,3,0,,4,2,0,0,0,,49,53,12,13,4,,,,,,,0 ,1.07,1.26,0.57,0.68,1.00,,,#DIV/0!,,,,,1,0.0,2,0,1,1,,5.0
,Brodeur Martin,,,45,59,29,39,7,,,31,13,19,3,,,4,7,6,0,,,3,2,3,1,,,69,35,47,7,,,,,,,,0 ,1.17,1.21,1.21,1.00,,,,#DIV/0!,,,,,1,0.0,2,0,1,1,,5.0
,Bryzgalov Ilya,,,37,59,40,32,8,,,33,19,12,1,,,7,3,8,1,,,6,1,4,0,,,79,42,36,3,,,,,,,,0 ,1.34,1.05,1.13,0.38,,,,#DIV/0!,,,,,1,0.0,2,0,1,1,,5.0
,Ellis Dan,FLA,,37,10,19,20,8,,,1,6,5,4,,,0,2,0,1,,,0,1,1,1,,,2,15,11,10,,,,,,,,0 ,0.20,0.79,0.55,1.25,,,,#DIV/0!,,,,,1,0.0,2,0,1,1,,5.0
,Emery Ray,,,35,34,21,28,31,,,15,17,9,10,,,4,0,2,7,,,0,3,2,0,,,34,37,22,27,,,,,,,,0 ,1.00,1.76,0.79,0.87,,,,#DIV/0!,,,,,1,0.0,2,0,1,1,,5.0
,Fasth Viktor,,,35,,25,12,26,,,,15,5,6,,,,2,2,3,,,,4,0,0,,,,36,12,15,,,,,,,,0 ,,1.44,1.00,0.58,,,,#DIV/0!,,,,,1,0.0,2,0,1,1,,5.0
,Hiller Jonas,,,35,73,26,50,52,26,,29,15,29,26,9,,12,4,7,4,1,,4,1,5,1,1,,74,35,70,57,20,,,,,,,0 ,1.01,1.35,1.40,1.10,0.77,,,#DIV/0!,,,,,1,0.0,2,0,1,1,,5.0
,Labarbera Jason,,,38,19,15,7,5,,,3,4,1,2,,,3,2,0,1,,,0,0,0,0,,,9,10,2,5,,,,,,,,0 ,0.47,0.67,0.29,1.00,,,,#DIV/0!,,,,,1,0.0,2,0,1,1,,5.0
,Nabokov Evgeni,,,42,42,41,40,11,,,19,23,15,3,,,3,7,8,2,,,2,3,4,0,,,43,56,42,8,,,,,,,,0 ,1.02,1.37,1.05,0.73,,,,#DIV/0!,,,,,1,0.0,2,0,1,1,,5.0
,Peters Justin,,,31,7,19,21,12,,3,2,4,7,3,,0,2,1,4,1,,0,1,1,1,0,,0,7,10,19,7,,0,,,,,,0 ,1.00,0.53,0.90,0.58,,0.00,,#DIV/0!,,,,,1,0.0,2,0,1,1,,5.0
,Ramo Karri,,,31,,,40,33,37,,,,16,15,17,,,,4,3,1,,,,2,2,1,,0,0,38,35,36,,,,,,,0 ,,,0.95,1.06,0.97,,,#DIV/0!,,,,,1,0.0,2,0,1,1,,5.0
,Scrivens Ben,,,31,12,20,40,57,15,,4,7,16,15,5,,,,,11,0,,0,2,4,1,0,,8,16,36,42,10,,,,,,,0 ,0.67,0.80,0.90,0.74,0.67,,,#DIV/0!,,,,,1,0.0,2,0,1,1,,5.0
